ID,Vulnerability description,Vulnerability location,Location-subtype,Vulnerability type,Type-subtype,Risk,Time,Attack surface,Country/region,EPA size,SAE level,Power type,APP class,Vehicle ID,Participant ID,Skill1,Skill2,Skill3,Skill4,Privacy data breach,Control hijacking,Ransomware,System damage,Unauthroized unlocking,Driving accident
206,Directory traversal vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File traversal,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
207,Login bypass vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Identity spoofing,Low,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
208,Sensitive information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2023-12-28,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
209,Arbitrary file reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File accessing,Low,2023-12-27,Remote,China,SUV,L1,Petrol,-,Competition-3-Vehicle-4,8,Penetration testing,-,-,-,TRUE,-,-,-,-,-
210,Privilege escalation vulnerability in XX Company's car infotainment system,In-vehicle,IVI,Authorization,Privilege escalation,Medium,2023-12-26,Short-range,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,2,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
211,Arbitrary account login vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Identity spoofing,High,2023-12-26,Remote,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,5,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
212,Privilege escalation vulnerability in XX Company's car infotainment system,In-vehicle,IVI,Authorization,Privilege escalation,Medium,2023-12-26,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,5,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
213,Backdoor account in the instrument cluster of XX Company's car infotainment system,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2023-12-25,Short-range,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,6,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
214,Arbitrary command execution vulnerability in XX Company's XX model,In-vehicle,ECU,Injection,Command injection,Medium,2023-12-25,Short-range,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,6,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
215,Unauthorized access vulnerability in XX Company's T-box,In-vehicle,T-Box,Authorization,Unauthorized accessing,Medium,2023-12-25,Short-range,China,Sedan,L2,Electric,-,Competition-3-Vehicle-5,8,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
216,Token leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,High,2023-12-25,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,5,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
217,Unauthorized UDS protocol message sending vulnerability in the infotainment system of XX Company's vehicles,Network,Network,Authorization,Unauthorized accessing,High,2023-12-22,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,6,Fuzzing,-,-,-,TRUE,TRUE,-,-,-,-
218,DoS (Denial of Service) attack vulnerability in the ADAS function of XX Company's XX model,In-vehicle,ECU,DoS,DoS,Medium,2023-12-22,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,6,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,-
219,Binder vulnerability in the Android infotainment OS kernel of XX Company's XX model,In-vehicle,IVI,OS,Kernel,Low,2023-12-22,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,6,Vulnerability reproduction,-,-,-,TRUE,TRUE,-,-,-,-
220,Unsafe TLS protocol configuration vulnerability in XX Company's XX model,In-vehicle,IVI,Interception,Traffic hijacking,Medium,2023-12-22,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,6,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
221,Secure boot private key leakage vulnerability in XX Company's XX model,In-vehicle,ECU,Information leakage,Information leakage,Low,2023-12-22,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,6,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
222,GPS radio interference vulnerability in XX Company's XX model,In-vehicle,ECU,Interception,GPS spoofing,Low,2023-12-22,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,6,Traffic analysis,-,-,-,-,-,-,TRUE,-,TRUE
223,Plaintext upload of vehicle privacy data vulnerability in XX Company's XX model,In-vehicle,IVI,Information leakage,Information leakage,Low,2023-12-22,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,6,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
224,ADAS TFTP service vulnerability without access control in XX Company's XX model,In-vehicle,ECU,OS,Arbitrary software installation,Medium,2023-12-22,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,6,Port scanning,Brute force,-,-,-,-,-,-,-,TRUE
225,Information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2023-12-20,Remote,German,Sedan,L2,Electric,-,Competition-5-Vehicle-1,6,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
226,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-12-20,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,-,-,-,-
227,Information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-20,Remote,China,Sedan,L2,Hybird,-,Competition-6-Vehicle-4,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
228,Weak passwords in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Medium,2023-12-20,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
229,Information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-12-20,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
230,Information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Medium,2023-12-20,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
231,Information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Medium,2023-12-20,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
232,System information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-18,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
233,System information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-18,Remote,China,SUV,L1,Petrol,-,Competition-3-Vehicle-4,8,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
234,Weak password login vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Medium,2023-12-15,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
235,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-12-15,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
236,Arbitrary file download vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Low,2023-12-15,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
237,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-12-15,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
238,System information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-15,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
239,Information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-15,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
240,Information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-15,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
241,System information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-15,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
242,Application installation hijacking vulnerability in XX Company's XX model,In-vehicle,IVI,Interception,DNS hijacking,Medium,2023-12-15,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,2,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
243,Arbitrary command execution vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,Deserialization,Low,2023-12-14,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,5,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
244,Login bypass vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Medium,2023-12-14,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,5,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
245,Backend management access vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Medium,2023-12-14,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
246,SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-12-14,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,5,Penetration testing,-,-,-,TRUE,-,-,-,-,-
247,Deserialization vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,Deserialization,Medium,2023-12-14,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,5,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
248,Arbitrary file upload via interface calls vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File upload,Medium,2023-12-14,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
249,Information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-14,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,5,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
250,System information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-14,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
251,Information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-14,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,5,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
252,Unauthenticated CAN communication vulnerability in XX Company's XX model,Network,Network,File operation,File upload,Medium,2023-12-14,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,5,Fuzzing,-,-,-,-,TRUE,-,-,-,-
253,Unauthorized reboot of the car infotainment system via keyboard events vulnerability in XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Low,2023-12-14,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,5,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
254,Information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-14,Remote,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,5,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
255,Information leakage in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-13,Remote,China,MPV,L2,Petrol,-,Competition-1-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
256,Information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Medium,2023-12-13,Remote,China,SUV,L1,Petrol,-,Competition-3-Vehicle-4,8,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
257,Sensitive information leakage vulnerability in a certain interface of XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-13,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,2,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
258,Sensitive information leakage vulnerability in a certain interface of XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-12-13,Remote,China,-,-,-,-,Competition-6-Vehicle-3-4-5-6,3,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
259,QR code hijacking vulnerability in XX Company's XX model,In-vehicle,IVI,Interception,Man-in-the-middle,Low,2023-12-11,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
260,Engineering mode access vulnerability in XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Low,2023-12-11,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
261,Application installation hijacking vulnerability in XX Company's XX model,In-vehicle,IVI,Interception,Man-in-the-middle,Low,2023-12-11,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
262,Path traversal vulnerability in the USB_OTA function of XX Company's XX model,In-vehicle,IVI,OS,Arbitrary software installation,Low,2023-12-11,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
263,DoS (Denial of Service) attack vulnerability in XX Company's XX model,In-vehicle,IVI,DoS,DoS,Low,2023-12-11,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,4,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,-
264,Unauthorized access to the CANFD bus in XX Company's XX model,Network,Network,Authorization,Unauthorized accessing,High,2023-12-11,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Fuzzing,-,-,-,TRUE,TRUE,-,-,-,-
265,Login QR code hijacking vulnerability in the app store of XX Company's XX model,In-vehicle,IVI,Interception,Man-in-the-middle,Low,2023-12-11,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
266,BLE relay attack vulnerability in XX Company's XX model,In-vehicle,Radio,Interception,Relay,Medium,2023-12-11,Mid-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
267,GPS radio interference vulnerability in XX Company's XX model,In-vehicle,ECU,Interception,GPS spoofing,Low,2023-12-22,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,3,Traffic analysis,-,-,-,-,-,-,TRUE,-,TRUE
268,Storage key leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Medium,2023-12-11,Remote,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
269,Empty password for the root user of the AI unit in XX Company's XX model,In-vehicle,ECU,Authorization,Weak password,Medium,2023-12-11,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Port scanning,Brute force,-,-,TRUE,TRUE,-,-,-,-
270,App store download hijacking in XX Company's XX model,In-vehicle,IVI,Interception,Man-in-the-middle,Medium,2023-12-11,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
271,DoS (Denial of Service) vulnerability in the passenger-side car infotainment Bluetooth of XX Company's XX model,In-vehicle,IVI,DoS,DoS,Low,2023-12-11,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Fuzzing,-,-,-,-,-,-,TRUE,-,-
272,DoS (Denial of Service) attack vulnerability in the Bluetooth key of XX Company's XX model,In-vehicle,ECU,DoS,DoS,Medium,2023-12-11,Short-range,China,SUV,L2,Electric,-,Competition-6-Vehicle-5,4,Fuzzing,-,-,-,-,-,-,TRUE,-,-
273,Key DoS (Denial of Service) vulnerability in XX Company's XX model,In-vehicle,Radio,DoS,DoS,Medium,2023-11-29,Mid-range,German,Sedan,L2,Electric,-,Competition-5-Vehicle-1,3,Traffic analysis,-,-,-,-,-,-,TRUE,-,-
274,Engineering mode access vulnerability in XX Company's XX model,In-vehicle,IVI,OS,Arbitrary software installation,Low,2023-11-29,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,8,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
275,QR code hijacking vulnerability in XX Company's XX model,In-vehicle,IVI,Interception,Man-in-the-middle,Low,2023-11-29,Short-range,China,Sedan,L2,Petrol,-,Competition-6-Vehicle-3,8,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
276,Unauthorized UDS protocol message sending in the infotainment system of XX Company's XX model,Network,Network,Authorization,Unauthorized accessing,High,2023-11-29,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,3,Fuzzing,-,-,-,TRUE,TRUE,-,-,-,-
277,DoS (Denial of Service) attack vulnerability in the ADAS function of XX Company's XX model,In-vehicle,ECU,DoS,DoS,Medium,2023-11-29,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,3,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,-
278,Binder vulnerability in the Android infotainment OS kernel of XX Company's XX model,In-vehicle,IVI,OS,Kernel,Low,2023-11-29,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,3,Vulnerability reproduction,-,-,-,TRUE,TRUE,-,-,-,-
279,Unsafe TLS protocol configuration vulnerability in XX Company's XX model,In-vehicle,IVI,Interception,Man-in-the-middle,Medium,2023-11-29,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
280,Secure boot private key leakage vulnerability in XX Company's XX model,In-vehicle,ECU,Information leakage,Information leakage,Low,2023-11-29,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
281,GPS radio interference vulnerability in XX Company's XX model,In-vehicle,ECU,Interception,GPS spoofing,Low,2023-11-29,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,3,Traffic analysis,-,-,-,-,-,-,TRUE,-,TRUE
282,Plaintext upload of vehicle privacy data vulnerability in XX Company's XX model,In-vehicle,IVI,Information leakage,Information leakage,Low,2023-11-29,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,3,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
283,ADAS TFTP service vulnerability without access control in XX Company's XX model,In-vehicle,ECU,OS,Arbitrary software installation,Medium,2023-11-22,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,2,Port scanning,Brute force,-,-,-,-,-,-,-,TRUE
284,DoS (Denial of Service) vulnerability in the WIFI of XX Company's IVI,In-vehicle,IVI,DoS,DoS,Low,2023-10-31,Short-range,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,1,Firmware extraction,Reverse engineering,Code audit,-,-,-,-,TRUE,-,-
285,SQL injection vulnerability in XX Company,In-vehicle,IVI,Injection,SQL injection,Medium,2023-10-31,Short-range,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,-,-,-,-,-
286,Heap cache overflow vulnerability (CVE-2023-4863) in XX Company,In-vehicle,IVI,Memory,Buffer overflow,Low,2023-10-31,Short-range,America,Sedan,L2,Electric,-,Competition-5-Vehicle-2,1,Vulnerability reproduction,-,-,-,TRUE,TRUE,-,-,-,-
287,Arbitrary file reading in the car infotainment system of XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,High,2023-10-31,Short-range,America,Sedan,L2,Electric,-,Competition-5-Vehicle-2,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
288,Sensitive information leakage vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Information leakage,Information leakage,Low,2023-10-30,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
289,Login authentication bypass vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Medium,2023-10-30,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
290,Vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,Medium,2023-10-26,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
291,Engineering mode exposure in XX Company's XX model,In-vehicle,IVI,OS,Arbitrary software installation,Medium,2023-10-26,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
292,Unauthorized access to information retrieval interface in XX Company's APP,Outside-vehicle,APP,Injection,Command injection,Medium,2023-10-26,Remote,China,SUV,L2,Electric,APP-to-vehicle,Competition-5-Vehicle-4,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
293,File upload vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File upload,Medium,2023-10-25,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
294,Vulnerability in user access interception in XX Company's cloud platform code,Outside-vehicle,Cloud platform,Authorization,Unauthorized accessing,High,2023-10-17,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,1,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
295,Debugging permission control insufficiency leading to backdoor vulnerability in the IVI of XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2023-10-17,Short-range,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
296,Vulnerability in installing third-party software via USB in the IVI of XX Company's XX model,In-vehicle,IVI,OS,Arbitrary software installation,Medium,2023-9-22,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
297,Privilege escalation vulnerability in the IVI of XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2023-9-22,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
298,Unauthorized access to sensitive information of any user in XX Company's APP,Outside-vehicle,APP,Injection,Command injection,Medium,2023-9-22,Remote,China,SUV,L2,Electric, APP-internal,Competition-5-Vehicle-4,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
299,Shell privilege escalation vulnerability in XX Company's T-BOX,In-vehicle,T-Box,Authorization,Unauthorized accessing,Medium,2023-9-22,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
300,Hardcoded MQTT vulnerability in XX Company's APP,Outside-vehicle,APP,Information leakage,Information leakage,High,2023-9-22,Remote,China,SUV,L2,Electric, APP-internal,Competition-5-Vehicle-4,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,-,-,-,-,-
301,WIFI default enabled with adb vulnerability after factory reset in the IVI of XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Low,2023-9-22,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
302,Rolling code synchronization vulnerability in the wireless key of XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2023-9-22,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,1,Traffic analysis,-,-,-,TRUE,TRUE,-,-,-,-
303,Arbitrary file reading vulnerability within applications in the IVI of XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Low,2023-9-22,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
304,Arbitrary user login vulnerability in XX Company's APP,Outside-vehicle,APP,Injection,Command injection,Medium,2023-9-22,Remote,China,SUV,L2,Electric, APP-internal,Competition-5-Vehicle-4,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
305,Arbitrary file upload and download vulnerability via adb in the T-BOX of XX Company's XX model,In-vehicle,IVI,Authorization,Unauthorized accessing,Medium,2023-9-22,Short-range,China,SUV,L2,Electric,-,Competition-5-Vehicle-4,1,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
306,Unauthorized SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-9-15,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,15,Penetration testing,-,-,-,TRUE,-,-,-,-,-
307,Unauthorized SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Medium,2023-9-15,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,15,Penetration testing,-,-,-,TRUE,-,-,-,-,-
308,Unauthorized SQL injection vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Injection,SQL injection,Low,2023-9-15,Remote,China,-,-,-,-,Competition-5-Vehicle-3-4-5-6,2,Penetration testing,-,-,-,TRUE,-,-,-,-,-
